,Company,Ticker,Stock Price,Trailing P/E Ratio,Shares Held by Institutions,% Float Held by Institutions,Forward Divident Yield,Forward Dividend,Last Year Dividend,2021 Dividend,2020 Dividend,2019 Dividend
202,"Biostar Pharmaceuticals, Inc. (BSPM)",BSPM,0.0000,0.18,0.00%,,,,0.0,0.0,0.0,0.0
203,BSQUARE Corporation (BSQR),BSQR,1.1900,,13.72%,,,,0.0,0.0,0.0,0.0
204,Sierra Bancorp (BSRR),BSRR,21.26,8.92,53.51%,,4.37%,0.92,0.92,0.86,0.8,0.74
205,Burford Capital Limited (BUR),BUR,9.17,325.84,72.92%,,1.36%,0.12,0.126,0.188,0.0,0.0
206,First Busey Corporation (BUSE),BUSE,24.97,11.26,51.44%,,3.75%,0.92,0.92,0.92,0.88,0.84
207,"BrightView Holdings, Inc. (BV)",BV,7.61,52.64,94.41%,,,,0.0,0.0,0.0,0.0
208,"Broadwind, Inc. (BWEN)",BWEN,4.4100,,25.07%,,,,0.0,0.0,0.0,0.0
209,"Bankwell Financial Group, Inc. (BWFG)",BWFG,30.15,6.04,43.47%,,2.83%,0.8,0.8,0.64,0.56,0.52
210,Broadway Financial Corporation (BYFC),BYFC,1.0400,24.25,15.83%,,,,0.0,0.0,0.0,0.0
211,"China Automotive Systems, Inc. (CAAS)",CAAS,6.80,8.07,3.08%,,,,0.0,0.0,0.0,0.0
212,Camden National Corporation (CAC),CAC,42.20,10.00,70.18%,,4.05%,1.68,1.6,1.4099999999999997,1.32,1.2
213,Credit Acceptance Corporation (CACC),CACC,418.47,9.03,61.35%,,,,0.0,0.0,0.0,0.0
214,"Cache, Inc. (CACH)",CACH,0.0001,,0.00%,,,,0.0,0.0,0.0,0.0
215,The Cheesecake Factory Incorporated (CAKE),CAKE,38.06,36.52,91.54%,,2.81%,1.08,0.81,0.0,0.36,1.38
216,"Calithera Biosciences, Inc. (CALA)",CALA,0.5157,,37.94%,,,,0.0,0.0,0.0,0.0
217,"Cal-Maine Foods, Inc. (CALM)",CALM,54.74,9.71,95.07%,,5.74%,3.08,1.7269999999999999,0.034,0.0,0.42100000000000004
218,CalAmp Corp. (CAMP),CAMP,4.9100,,77.45%,,,,0.0,0.0,0.0,0.0
219,Camtek Ltd. (CAMT),CAMT,24.98,15.63,28.00%,,,,0.0,0.0,0.0,0.17
220,"Avis Budget Group, Inc. (CAR)",CAR,189.34,3.16,104.42%,,,,0.0,0.0,0.0,0.0
221,"Cara Therapeutics, Inc. (CARA)",CARA,10.54,,66.86%,,,,0.0,0.0,0.0,0.0
222,"Carver Bancorp, Inc. (CARV)",CARV,4.8501,,15.88%,,,,0.0,0.0,0.0,0.0
223,"Pathward Financial, Inc. (CASH)",CASH,46.39,8.66,90.02%,,0.43%,0.2,0.2,0.2,0.2,0.2
224,"CASI Pharmaceuticals, Inc. (CASI)",CASI,2.0300,,14.80%,,,,0.0,0.0,0.0,0.0
225,"Cass Information Systems, Inc. (CASS)",CASS,48.72,19.98,58.09%,,2.37%,1.16,1.1300000000000001,1.09,1.08,1.05
226,"Casey's General Stores, Inc. (CASY)",CASY,221.08,20.14,87.36%,,0.69%,1.52,1.46,1.37,1.28,1.22
227,Cathay General Bancorp (CATY),CATY,43.02,9.27,70.89%,,3.22%,1.36,1.36,1.27,1.24,1.24
228,"CymaBay Therapeutics, Inc. (CBAY)",CBAY,6.15,,76.32%,,,,0.0,0.0,0.0,0.0
229,"CB Financial Services, Inc. (CBFV)",CBFV,22.13,8.25,30.24%,,4.34%,0.96,0.96,0.96,0.96,0.96
